"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 30 19:55:04 GMT 2024","Sat Nov 30 19:55:04 GMT 2024","809","tests","test_store","TestStore","","","test_delete_order","Can delete an order"
"passed","Sat Nov 30 19:55:06 GMT 2024","Sat Nov 30 19:55:07 GMT 2024","970","tests","test_user","TestUser","","","test_update_user","Can update user data by username and user ID"
"passed","Sat Nov 30 19:55:07 GMT 2024","Sat Nov 30 19:55:07 GMT 2024","828","tests","test_user","TestUser","","","test_delete_user","Can delete user by username"
"failed","Sat Nov 30 19:55:09 GMT 2024","Sat Nov 30 19:55:09 GMT 2024","275","tests","test_user","TestUser","","","test_create_user_list","Can create a list of users with given input list"
"passed","Sat Nov 30 19:55:07 GMT 2024","Sat Nov 30 19:55:08 GMT 2024","289","tests","test_user","TestUser","","","test_delete_not_existent_user","Can not delete a user by not existent username"
"passed","Sat Nov 30 19:55:08 GMT 2024","Sat Nov 30 19:55:09 GMT 2024","260","tests","test_user","TestUser","","","test_logout_user","Can logout"
"passed","Sat Nov 30 19:55:03 GMT 2024","Sat Nov 30 19:55:03 GMT 2024","278","tests","test_pet","TestPet","","","test_delete_not_existent_pet","Can not delete the pet from the store by not existent pet ID"
"passed","Sat Nov 30 19:55:04 GMT 2024","Sat Nov 30 19:55:05 GMT 2024","274","tests","test_store","TestStore","","","test_delete_not_existent_order","Can not delete an order by not existent order ID"
"passed","Sat Nov 30 19:54:57 GMT 2024","Sat Nov 30 19:54:58 GMT 2024","286","tests","test_pet","TestPet","","","test_find_not_existent_pet","Can not find a pet by not existent pet ID"
"passed","Sat Nov 30 19:55:02 GMT 2024","Sat Nov 30 19:55:03 GMT 2024","1279","tests","test_pet","TestPet","","","test_delete_pet_from_the_store","Can delete the pet from the store by pet ID"
"passed","Sat Nov 30 19:54:57 GMT 2024","Sat Nov 30 19:54:57 GMT 2024","283","tests","test_pet","TestPet","","","test_find_pets_by_status[sold]","Filtering by status returns the pets with the given status"
"passed","Sat Nov 30 19:55:08 GMT 2024","Sat Nov 30 19:55:08 GMT 2024","556","tests","test_user","TestUser","","","test_login_user","Can login with username and password"
"passed","Sat Nov 30 19:54:59 GMT 2024","Sat Nov 30 19:55:00 GMT 2024","962","tests","test_pet","TestPet","","","test_update_name_and_status","Can update the name and status of an existed pet using form data"
"passed","Sat Nov 30 19:55:03 GMT 2024","Sat Nov 30 19:55:04 GMT 2024","564","tests","test_store","TestStore","","","test_place_order","Can place an order"
"passed","Sat Nov 30 19:55:05 GMT 2024","Sat Nov 30 19:55:05 GMT 2024","278","tests","test_store","TestStore","","","test_find_not_existent_order","Can not find an order by not existent ID"
"passed","Sat Nov 30 19:55:01 GMT 2024","Sat Nov 30 19:55:02 GMT 2024","955","tests","test_pet","TestPet","","","test_update_all_pet_data","Can update an existing pet via json"
"passed","Sat Nov 30 19:54:58 GMT 2024","Sat Nov 30 19:54:59 GMT 2024","1084","tests","test_pet","TestPet","","","test_add_new_pet_to_the_store","Can add a new pet to the store"
"passed","Sat Nov 30 19:55:05 GMT 2024","Sat Nov 30 19:55:06 GMT 2024","553","tests","test_user","TestUser","","","test_create_user","Can create a new user"
"passed","Sat Nov 30 19:55:08 GMT 2024","Sat Nov 30 19:55:08 GMT 2024","259","tests","test_user","TestUser","","","test_find_not_existent_user","Can not find a user by not existent username"
"passed","Sat Nov 30 19:54:57 GMT 2024","Sat Nov 30 19:54:57 GMT 2024","437","tests","test_pet","TestPet","","","test_find_pets_by_status[pending]","Filtering by status returns the pets with the given status"
"passed","Sat Nov 30 19:54:59 GMT 2024","Sat Nov 30 19:54:59 GMT 2024","581","tests","test_pet","TestPet","","","test_upload_image","Can upload image and additional image data"
"passed","Sat Nov 30 19:54:56 GMT 2024","Sat Nov 30 19:54:57 GMT 2024","349","tests","test_pet","TestPet","","","test_find_pets_by_status[available]","Filtering by status returns the pets with the given status"
"passed","Sat Nov 30 19:55:00 GMT 2024","Sat Nov 30 19:55:01 GMT 2024","309","tests","test_pet","TestPet","","","test_update_not_existent_pet","Can not update the pet name and status by not existent pet ID"
